title,keterangan,jumlah_data,title_per_data
Persentase Hasil Pengujian Pangan Bebas Bahan Berbahaya di DKI Jakarta Tahun  2019,"Data Hasil Pengujian Bahan Pangan Di Provinsi DKI Jakarta
Berisikan hasil pengujian bahan pangan di Provinsi DKI Jakarta
Keterangan variabel dataset :
komoditi : Komoditi
target : Target
sampel : Sampel
hasil_positif : Hasil Positif
hasil_negatif : Hasil Negatif",5,Persentase Pangan yang Bebas Bahan Berbahaya di DKI Jakarta Bulan Januari 2019;*;Persentase Pangan yang Bebas Bahan Berbahaya di DKI Jakarta Bulan Februari 2019;*;Persentase Pangan yang Bebas Bahan Berbahaya di DKI Jakarta Bulan Maret 2019;*;Persentase Pangan yang Bebas Bahan Berbahaya di DKI Jakarta Bulan April 2019;*;Persentase Pangan yang Bebas Bahan Berbahaya di DKI Jakarta Bulan Mei 2019,,,,,
Data Korban Kekerasan Terhadap Perempuan dan Anak Yang Ditangani Oleh  Pusat Pelayanan Terpadu Pemberdayaan Perempuan dan Anak Berdasarkan Klien 2019,"Dataset ini berisi Data Jumlah Korban Kekerasan Terhadap Perempuan dan Anak Yang Ditangani Oleh Pusat Pelayanan Terpadu Pemberdayaan Perempuan dan Anak (P2TP2A) Berdasarkan Klien pada tahun 2019.
Penjelasan mengenai Variabel pada Dataset ini:
tahun : tahun
bulan : nama bulan
jenis_kelamin : jenis kelamin
jumlah_klien : jumlah korban kekerasan terhadap perempuan dan anak yang ditangani oleh p2tp2a berdasarkan klien",5,Data Korban Kekerasan Terhadap Perempuan dan Anak Yang Ditangani Oleh  Pusat Pelayanan Terpadu Pemberdayaan Perempuan dan Anak Berdasarkan Klien Bulan Januari Tahun 2019;*;Data Korban Kekerasan Terhadap Perempuan dan Anak Yang Ditangani Oleh  Pusat Pelayanan Terpadu Pemberdayaan Perempuan dan Anak Berdasarkan Klien Bulan Februari Tahun 2019;*;Data Korban Kekerasan Terhadap Perempuan dan Anak Yang Ditangani Oleh  Pusat Pelayanan Terpadu Pemberdayaan Perempuan dan Anak Berdasarkan Klien Bulan Maret Tahun 2019;*;Data Korban Kekerasan Terhadap Perempuan dan Anak Yang Ditangani Oleh  Pusat Pelayanan Terpadu Pemberdayaan Perempuan dan Anak Berdasarkan Klien Bulan April Tahun 2019;*;Data Korban Kekerasan Terhadap Perempuan dan Anak Yang Ditangani Oleh  Pusat Pelayanan Terpadu Pemberdayaan Perempuan dan Anak Berdasarkan Klien Bulan Mei Tahun 2019,,,,,
Data Jumlah Korban Kekerasan Terhadap Perempuan dan Anak Yang Ditangani Oleh Pusat Pelayanan Terpadu Pemberdayaan Perempuan dan Anak (P2TP2A) Berdasarkan Yang Melapor ke Kepolisian Tahun 2019,"Dataset ini berisi Data Jumlah Korban kekerasan terhadap perempuan dan anak yang ditangani oleh Pusat Pelayanan Terpadu Pemberdayaan Perempuan dan Anak (P2TP2A) berdasarkan Yang Melapor ke Kepolisian pada tahun 2019.
Penjelasan mengenai Variabel pada Dataset ini :
tahun : tahun
bulan : bulan
jenis_lapor : melapor atau tidak
jumlah_korban_kekerasan_thd_perempuan_anak_berdasarkan_yg_melapor_ke_kepolisian : jumlah yang ada",5,Data Jumlah Korban Kekerasan Terhadap Perempuan dan Anak Yang Ditangani Oleh Pusat Pelayanan Terpadu Pemberdayaan Perempuan dan Anak (P2TP2A) Berdasarkan Yang Melapor ke Kepolisian Bulan Januari Tahun 2019;*;Data Jumlah Korban Kekerasan Terhadap Perempuan dan Anak Yang Ditangani Oleh Pusat Pelayanan Terpadu Pemberdayaan Perempuan dan Anak (P2TP2A) Berdasarkan Yang Melapor ke Kepolisian Bulan Februari Tahun 2019;*;Data Jumlah Korban Kekerasan Terhadap Perempuan dan Anak Yang Ditangani Oleh Pusat Pelayanan Terpadu Pemberdayaan Perempuan dan Anak (P2TP2A) Berdasarkan Yang Melapor ke Kepolisian Bulan Maret Tahun 2019;*;Data Jumlah Korban Kekerasan Terhadap Perempuan dan Anak Yang Ditangani Oleh Pusat Pelayanan Terpadu Pemberdayaan Perempuan dan Anak (P2TP2A) Berdasarkan Yang Melapor ke Kepolisian Bulan April Tahun 2019;*;Data Jumlah Korban Kekerasan Terhadap Perempuan dan Anak Yang Ditangani Oleh Pusat Pelayanan Terpadu Pemberdayaan Perempuan dan Anak (P2TP2A) Berdasarkan Yang Melapor ke Kepolisian Bulan Mei Tahun 2019,,,,,
Data Jumlah Korban Kekerasan Terhadap Perempuan dan Anak Yang Ditangani Oleh Pusat Pelayanan Terpadu Pemberdayaan Perempuan dan Anak (P2TP2A) Berdasarkan Usia Pelaku dan Klien Tahun 2019,"Dataset ini berisi Data Jumlah Korban kekerasan terhadap perempuan dan anak yang ditangani oleh P2TP2A berdasarkan Usia Pelaku dan Klien pada tahun 2019.
Penjelasan mengenai Variabel pada Dataset ini :
tahun : tahun
bulan : bulan kalender dalam 2 digit angka
usia_klien_dan_pelaku : kelompok usia
jumlah_korban_kekerasan_thd_perempuan_anak_berdasarkan_usia_pelaku : jumlah yang dilaporkan
jumlah_korban_kekerasan_thd_perempuan_anak_berdasarkan_usia_klien : jumlah yang dilaporkan",5,Data Jumlah Korban Kekerasan Terhadap Perempuan dan Anak Yang Ditangani Oleh P2TP2A Berdasarkan Usia Pelaku dan Klien Bulan Januari Tahun 2019;*;Data Jumlah Korban Kekerasan Terhadap Perempuan dan Anak Yang Ditangani Oleh P2TP2A Berdasarkan Usia Pelaku dan Klien Bulan Februari Tahun 2019;*;Data Jumlah Korban Kekerasan Terhadap Perempuan dan Anak Yang Ditangani Oleh P2TP2A Berdasarkan Usia Pelaku dan Klien Bulan Maret Tahun 2019;*;Data Jumlah Korban Kekerasan Terhadap Perempuan dan Anak Yang Ditangani Oleh P2TP2A Berdasarkan Usia Pelaku dan Klien Bulan April Tahun 2019;*;Data Jumlah Korban Kekerasan Terhadap Perempuan dan Anak Yang Ditangani Oleh P2TP2A Berdasarkan Usia Pelaku dan Klien Bulan Mei Tahun 2019,,,,,
Data Persentase Korban Kekerasan Yang Mendapat Layanan Komprehensif,"Dataset ini berisi persentase korban kekerasan yang mendapat layanan komprehensif tahun 2019.
Penjelasan mengenai variabel pada dataset ini :
tahun = menunjukkan tahun
bulan = menunjukkan bulan laporan
jumlah korban = menunjukkan jumlah kasus/korban yang mendapat layanan komprehensif
capaian_(%) = menunjukkan persentase capaian korban kekerasan yang mendapat layanan komprehensif",5,Persentase Korban Kekerasan yang Mendapat Layanan Komprehensif Bulan Januari Tahun 2019;*;Persentase Korban Kekerasan yang Mendapat Layanan Komprehensif Bulan Februari Tahun 2019;*;Persentase Korban Kekerasan yang Mendapat Layanan Komprehensif Bulan Maret Tahun 2019;*;Data Persentase Korban Kekerasan Yang Mendapat Layanan Komprehensif Bulan April Tahun 2019;*;Data Persentase Korban Kekerasan Yang Mendapat Layanan Komprehensif Bulan Mei Tahun 2019,,,,,
Data Perkembangan Harga Eceran di Pasar Wilayah Tahun 2019,"Dataset ini Berisi Data Perkembangan Harga Eceran di Pasar Wilayah Tahun 2019.
Penjelasan mengenai variabel pada Dataset ini:
nama_pasar = nama pasar di wilayah yang terdata
komoditas = nama komoditas pangan
tanggal = tanggal kalender awal bulan hingga akhir bulan",6,Harga Pangan Per Wilayah Bulan Januari Tahun 2019;*;Harga Pangan Per Wilayah Bulan Februari Tahun 2019;*;Harga Pangan Per Wilayah Bulan Maret Tahun 2019;*;Harga Pangan Per Wilayah Bulan April Tahun 2019;*;Harga Pangan Per Wilayah Bulan Mei Tahun 2019;*;Harga Pangan Per Wilayah Bulan Juni Tahun 2019,,,,,
Data Tinggi Muka Air DKI Jakarta Tahun 2019,"Dataset ini menampilkan data tinggi muka air sungai/kali/laut yang ada di DKI Jakarta secara real time mulai dari tanggal 1 Januari 2019.
variebel pada dataset ini:
nama pintu air = lokasi melakukan pengamatan
lokasi = objek yang diamati (laut, nama sungai atau kali, dll)
latitude = garis lintang
longitude = garis bujur
tanggal = tanggal dan jam data diambil
tinggi air = tinggi air pada saat data diambil
status siaga = status waspada terhadap ketinggian air",6,Data Tinggi Muka Air Bulan Januari Tahun 2019;*;Data Tinggi Muka Air Bulan Februari Tahun 2019;*;Data Tinggi Muka Air Bulan Maret Tahun 2019;*;Data Tinggi Muka Air Bulan April Tahun 2019;*;Data Tinggi Muka Air Bulan Mei Tahun 2019;*;Data Tinggi Muka Air Bulan Juni Tahun 2019,,,,,
Data Judul Berita yang di Publish pada Website Berita Resmi Pemprov DKI Jakarta Tahun 2019,"Dataset ini berisi mengenai Data Judul Berita yang di Publish pada Website Berita Resmi Pemprov DKI Jakarta Tahun 2019.
Penjelasan mengenai Variabel pada Dataset ini:
judul_berita : judul berita
tanggal_publikasi : tanggal publikasi berita
jam_publikasi : jam publikasi berita
kategori : kategori berita",6,Data Judul Berita yang di Publish pada Website Berita Resmi Pemprov DKI Jakarta Bulan Januari Tahun 2019;*;Data Judul Berita yang di Publish pada Website Berita Resmi Pemprov DKI Jakarta Bulan Februari Tahun 2019;*;Data Judul Berita yang di Publish pada Website Berita Resmi Pemprov DKI Jakarta Bulan Maret Tahun 2019;*;Data Judul Berita yang di Publish pada Website Berita Resmi Pemprov DKI Jakarta Bulan April Tahun 2019;*;Data Judul Berita yang di Publish pada Website Berita Resmi Pemprov DKI Jakarta Bulan Mei Tahun 2019;*;Data Judul Berita yang di Publish pada Website Berita Resmi Pemprov DKI Jakarta Bulan Juni Tahun 2019,,,,,
Data Video yang di Publish pada Website Berita Resmi Pemprov DKI Jakarta Tahun 2019,"Dataset ini berisi mengenai Data Video yang di Publish pada Website Berita Resmi Pemprov DKI Jakarta Tahun 2019.
Penjelasan mengenai Variabel pada Dataset ini:
judul_video : judul video yang dipublish
deskripsi_video : deskripsi isi video
tanggal_rilis : tanggal rilis
waktu_rilis : jam rilis video yang dipublish
link_video : alamat link video yang dipublish",6,Data Video yang di Publish pada Website Berita Resmi Pemprov DKI Jakarta Bulan Januari Tahun 2019;*;Data Video yang di Publish pada Website Berita Resmi Pemprov DKI Jakarta Bulan Februari Tahun 2019;*;Data Video yang di Publish pada Website Berita Resmi Pemprov DKI Jakarta Bulan Maret Tahun 2019;*;Data Video yang di Publish pada Website Berita Resmi Pemprov DKI Jakarta Bulan April Tahun 2019;*;Data Video yang di Publish pada Website Berita Resmi Pemprov DKI Jakarta Bulan Mei Tahun 2019;*;Data Video yang di Publish pada Website Berita Resmi Pemprov DKI Jakarta Bulan Juni Tahun 2019,,,,,
Data Aset Dinas Pemuda dan Olahraga Provinsi DKI Jakarta,"Data Aset Dinas Pemuda dan Olahraga
Data berisikan Aset Dinas Pemuda dan Olahraga
Data ini berisikan data aset tanah, bangunan, dan konstruksi dalam pengerjaan di bawah penguasaan Dinas Pemuda dan Olahraga,
Keterangan variabel dataset
nama _barang : nama barang milik daerah
alamat :alamat barang milik daerah tersebut berlokasi
jenis_barang : menjelaskan jenis barang milik daerah",2,Data Aset Dinas Pemuda dan Olahraga tahun 2017;*;Data Aset Dinas Pemuda dan Olahraga tahun 2019,,,,,
